"variant","features","seed","matched","total","objective","iterations"
"working_appendix231",231,54,131,138,362.04386423426,3
"working_appendix231",231,55,124,138,361.972841471905,2
"working_appendix231",231,56,128,138,362.140925396649,3
"working_appendix231",231,57,124,138,362.439189924666,3
"working_appendix231",231,58,112,138,363.94939925156,5
"working_appendix231",231,59,132,138,362.06247835428,4
"working_appendix231",231,60,125,138,362.472543794836,4
"working_appendix231",231,61,130,138,361.984826993441,3
"working_appendix231",231,62,124,138,362.25219466869,3
"working_appendix231",231,63,128,138,362.140925396649,3
"working_appendix231",231,64,128,138,362.017851649054,4
"working_appendix231",231,65,131,138,361.993669954503,3
"working_appendix231",231,66,125,138,362.472543794836,4
"working_appendix231",231,67,124,138,361.927402726752,3
"working_appendix231",231,68,114,138,364.086746587194,4
"working_appendix231",231,69,126,138,362.037400652947,4
"working_appendix231",231,70,132,138,362.06247835428,5
"working_appendix231",231,71,129,138,362.162641435148,4
"working_appendix231",231,72,131,138,362.043864234259,3
"working_appendix231",231,73,131,138,361.993669954502,2
"working_appendix231",231,74,124,138,361.927402726752,2
"working_appendix231",231,75,132,138,362.06247835428,5
"working_appendix231",231,76,126,138,362.037400652946,3
"working_appendix231",231,77,128,138,362.140925396648,3
"working_appendix231",231,78,128,138,362.017851649053,4
"working_appendix231",231,79,107,138,363.913874901882,6
"working_appendix231",231,80,132,138,362.06247835428,6
"working_appendix231",231,81,129,138,362.015812655678,3
"working_appendix231",231,82,128,138,362.116936601823,3
"working_appendix231",231,83,131,138,361.993669954502,4
"working_appendix231",231,84,124,138,361.972841471904,3
"working_appendix231",231,85,101,138,373.001729348872,8
"working_appendix231",231,86,125,138,362.472543794836,4
"working_appendix231",231,87,132,138,362.06247835428,4
"working_appendix231",231,88,130,138,361.984826993441,3
"working_appendix231",231,89,129,138,362.162641435148,3
"working_appendix231",231,90,132,138,362.06247835428,5
"working_appendix231",231,91,132,138,362.06247835428,7
"working_appendix231",231,92,131,138,361.993669954504,8
"working_appendix231",231,93,107,138,363.913874901884,4
"working_appendix231",231,94,121,138,362.24271931461,4
"working_appendix231",231,95,130,138,361.984826993441,3
"working_appendix231",231,96,115,138,363.97206254216,3
"working_appendix231",231,97,131,138,361.993669954502,3
"working_appendix231",231,98,112,138,363.444958587706,3
"working_appendix231",231,99,125,138,362.472543794836,3
"working_appendix231",231,100,131,138,361.993669954502,5
"no_word_component_columns",105,1,126,138,336.784812837649,3
"no_word_component_columns",105,2,131,138,336.433310928443,4
"no_word_component_columns",105,3,131,138,336.433310928444,5
"no_word_component_columns",105,4,131,138,336.433310928443,4
"no_word_component_columns",105,5,124,138,336.786725317699,3
"no_word_component_columns",105,6,125,138,337.00300504021,4
"no_word_component_columns",105,7,130,138,336.444943085806,4
"no_word_component_columns",105,8,131,138,336.433310928444,4
"no_word_component_columns",105,9,122,138,336.739480203235,4
"no_word_component_columns",105,10,130,138,336.444943085806,4
"no_word_component_columns",105,11,124,138,336.890512733004,5
"no_word_component_columns",105,12,131,138,336.433310928444,4
"no_word_component_columns",105,13,131,138,336.433310928443,5
"no_word_component_columns",105,14,126,138,336.571537605342,3
"no_word_component_columns",105,15,89,138,351.129303835515,6
"no_word_component_columns",105,16,125,138,337.00300504021,3
"no_word_component_columns",105,17,127,138,336.553857661967,3
"no_word_component_columns",105,18,128,138,336.531797508328,3
"no_word_component_columns",105,19,130,138,336.444943085807,3
"no_word_component_columns",105,20,127,138,336.836400791831,3
"no_word_component_columns",105,21,131,138,336.433310928444,5
"no_word_component_columns",105,22,113,138,338.394431173908,4
"no_word_component_columns",105,23,131,138,336.433310928443,5
"no_word_component_columns",105,24,129,138,336.509160792064,3
"no_word_component_columns",105,25,131,138,336.433310928443,4
"no_word_component_columns",105,26,122,138,336.739480203235,4
"no_word_component_columns",105,27,125,138,337.00300504021,3
"no_word_component_columns",105,28,128,138,336.604998604241,3
"no_word_component_columns",105,29,116,138,338.217800102163,4
"no_word_component_columns",105,30,127,138,336.83640079183,3
"no_word_component_columns",105,31,127,138,336.836400791831,5
"no_word_component_columns",105,32,129,138,336.675294283598,3
"no_word_component_columns",105,33,126,138,336.784812837649,3
"no_word_component_columns",105,34,126,138,336.724452944007,3
"no_word_component_columns",105,35,131,138,336.433310928444,5
"no_word_component_columns",105,36,124,138,336.959118160987,3
"no_word_component_columns",105,37,122,138,336.739480203235,4
"no_word_component_columns",105,38,128,138,336.531797508328,3
"no_word_component_columns",105,39,127,138,336.83640079183,4
"no_word_component_columns",105,40,130,138,336.444943085807,4
"no_word_component_columns",105,41,125,138,337.003005040211,3
"no_word_component_columns",105,42,122,138,336.739480203236,3
"no_word_component_columns",105,43,124,138,336.48198875428,4
"no_word_component_columns",105,44,122,138,336.739480203235,4
"no_word_component_columns",105,45,127,138,336.836400791831,4
"no_word_component_columns",105,46,125,138,337.00300504021,3
"no_word_component_columns",105,47,129,138,336.509160792064,4
"no_word_component_columns",105,48,127,138,336.836400791831,3
"no_word_component_columns",105,49,129,138,336.633129715065,3
"no_word_component_columns",105,50,127,138,336.845610593128,3
"no_word_component_columns",105,51,125,138,337.00300504021,3
"no_word_component_columns",105,52,130,138,336.444943085807,3
"no_word_component_columns",105,53,131,138,336.433310928443,5
"no_word_component_columns",105,54,131,138,336.513431829646,3
"no_word_component_columns",105,55,129,138,336.509160792064,3
"no_word_component_columns",105,56,128,138,336.603328455067,3
"no_word_component_columns",105,57,127,138,336.836400791831,3
"no_word_component_columns",105,58,124,138,336.890512733004,4
"no_word_component_columns",105,59,131,138,336.433310928444,4
"no_word_component_columns",105,60,125,138,337.00300504021,4
"no_word_component_columns",105,61,130,138,336.444943085807,3
"no_word_component_columns",105,62,126,138,336.784812837649,3
"no_word_component_columns",105,63,128,138,336.603328455068,3
"no_word_component_columns",105,64,128,138,336.531797508328,4
"no_word_component_columns",105,65,131,138,336.433310928442,3
"no_word_component_columns",105,66,125,138,337.00300504021,4
"no_word_component_columns",105,67,126,138,336.724452944007,3
"no_word_component_columns",105,68,125,138,337.00300504021,4
"no_word_component_columns",105,69,122,138,336.739480203236,4
"no_word_component_columns",105,70,131,138,336.433310928443,5
"no_word_component_columns",105,71,129,138,336.633129715065,4
"no_word_component_columns",105,72,131,138,336.513431829646,3
"no_word_component_columns",105,73,131,138,336.433310928443,2
"no_word_component_columns",105,74,124,138,336.48198875428,2
"no_word_component_columns",105,75,131,138,336.433310928443,6
"no_word_component_columns",105,76,128,138,336.60499860424,2
"no_word_component_columns",105,77,130,138,336.444943085806,3
"no_word_component_columns",105,78,131,138,336.513431829645,4
"no_word_component_columns",105,79,131,138,336.433310928443,5
"no_word_component_columns",105,80,131,138,336.433310928444,5
"no_word_component_columns",105,81,129,138,336.509160792064,2
"no_word_component_columns",105,82,126,138,336.784812837649,4
"no_word_component_columns",105,83,131,138,336.433310928443,4
"no_word_component_columns",105,84,124,138,336.53031072246,3
"no_word_component_columns",105,85,131,138,336.433310928444,4
"no_word_component_columns",105,86,125,138,337.00300504021,4
"no_word_component_columns",105,87,131,138,336.433310928444,3
"no_word_component_columns",105,88,130,138,336.444943085807,3
"no_word_component_columns",105,89,129,138,336.633129715065,3
"no_word_component_columns",105,90,131,138,336.433310928444,5
"no_word_component_columns",105,91,131,138,336.433310928444,8
"no_word_component_columns",105,92,75,138,352.643663953259,3
"no_word_component_columns",105,93,107,138,338.776148087919,4
"no_word_component_columns",105,94,124,138,336.890512733004,4
"no_word_component_columns",105,95,130,138,336.444943085806,3
"no_word_component_columns",105,96,126,138,336.724452944008,3
"no_word_component_columns",105,97,131,138,336.433310928444,3
"no_word_component_columns",105,98,124,138,336.530310722461,3
"no_word_component_columns",105,99,125,138,337.00300504021,3
"no_word_component_columns",105,100,131,138,336.433310928443,5
"syntax50",50,1,91,138,232.396997372459,3
"syntax50",50,2,112,138,230.37569473326,4
"syntax50",50,3,74,138,237.530504972861,4
"syntax50",50,4,103,138,230.114356052938,3
"syntax50",50,5,89,138,234.91365144032,6
"syntax50",50,6,109,138,233.23888059465,4
"syntax50",50,7,105,138,230.204463092584,5
"syntax50",50,8,112,138,229.981664572544,6
"syntax50",50,9,88,138,231.35462488844,5
"syntax50",50,10,97,138,234.794245589516,4
"syntax50",50,11,101,138,231.35864188873,4
"syntax50",50,12,106,138,232.386080202085,4
"syntax50",50,13,103,138,230.114356052938,4
"syntax50",50,14,125,138,231.802207141444,4
"syntax50",50,15,87,138,237.04582238064,3
"syntax50",50,16,115,138,231.563240434719,4
"syntax50",50,17,121,138,231.60366469215,6
"syntax50",50,18,123,138,231.562057549212,3
"syntax50",50,19,120,138,231.587410802081,4
"syntax50",50,20,110,138,231.144172471527,3
"syntax50",50,21,99,138,230.030960226391,3
"syntax50",50,22,69,138,236.204897681759,3
"syntax50",50,23,73,138,235.706041097077,6
"syntax50",50,24,105,138,234.270419899798,4
"syntax50",50,25,102,138,230.076652701994,3
"syntax50",50,26,83,138,232.76428705079,7
"syntax50",50,27,121,138,231.968450511479,3
"syntax50",50,28,116,138,231.559810249011,4
"syntax50",50,29,69,138,236.440601422929,4
"syntax50",50,30,99,138,230.030960226393,5
"syntax50",50,31,118,138,231.472504301662,5
"syntax50",50,32,108,138,230.290445425233,5
"syntax50",50,33,109,138,232.353621429347,3
"syntax50",50,34,121,138,231.842214416616,3
"syntax50",50,35,100,138,230.05818950604,3
"syntax50",50,36,109,138,232.431006666208,4
"syntax50",50,37,85,138,234.935881882769,3
"syntax50",50,38,119,138,231.295084107834,4
"syntax50",50,39,119,138,231.295084107834,4
"syntax50",50,40,117,138,231.399632806873,4
"syntax50",50,41,99,138,235.745321325827,5
"syntax50",50,42,120,138,231.307201242521,4
"syntax50",50,43,81,138,233.888595644309,4
"syntax50",50,44,109,138,231.853972209688,4
"syntax50",50,45,119,138,231.295084107835,4
"syntax50",50,46,97,138,233.5729245747,6
"syntax50",50,47,104,138,231.368123940086,3
"syntax50",50,48,72,138,235.797398186322,5
"syntax50",50,49,78,138,233.908316676308,3
"syntax50",50,50,115,138,230.32250320161,3
"syntax50",50,51,110,138,231.851282069615,3
"syntax50",50,52,100,138,230.027648220197,4
"syntax50",50,53,104,138,231.368123940084,4
"syntax50",50,54,102,138,230.149809116437,3
"syntax50",50,55,121,138,231.726755627549,4
"syntax50",50,56,106,138,230.349491188825,3
"syntax50",50,57,122,138,231.490245514347,3
"syntax50",50,58,117,138,231.522424052234,4
"syntax50",50,59,113,138,232.484722857412,4
"syntax50",50,60,91,138,233.248105606682,3
"syntax50",50,61,115,138,231.647972874775,4
"syntax50",50,62,105,138,231.317674140691,3
"syntax50",50,63,84,138,237.334467352655,3
"syntax50",50,64,115,138,231.56324043472,5
"syntax50",50,65,85,138,233.517728823147,4
"syntax50",50,66,117,138,231.399632806874,3
"syntax50",50,67,114,138,230.334146452512,3
"syntax50",50,68,119,138,231.295084107836,3
"syntax50",50,69,100,138,230.085986148353,5
"syntax50",50,70,101,138,230.108067513771,3
"syntax50",50,71,111,138,232.030714394603,5
"syntax50",50,72,105,138,231.317674140692,3
"syntax50",50,73,113,138,230.581369373635,5
"syntax50",50,74,122,138,231.38538082736,3
"syntax50",50,75,94,138,232.111145516221,3
"syntax50",50,76,120,138,231.598423172672,5
"syntax50",50,77,133,138,232.086262231391,3
"syntax50",50,78,86,138,235.629306291728,4
"syntax50",50,79,118,138,229.68166068309,6
"syntax50",50,80,92,138,231.647462677744,3
"syntax50",50,81,102,138,230.149809116434,4
"syntax50",50,82,95,138,233.201386899584,3
"syntax50",50,83,106,138,234.262021605416,7
"syntax50",50,84,94,138,231.565312770529,7
"syntax50",50,85,102,138,233.629682525872,4
"syntax50",50,86,91,138,231.678717069558,5
"syntax50",50,87,108,138,231.371044950967,3
"syntax50",50,88,100,138,230.058189506035,2
"syntax50",50,89,124,138,231.592851403176,3
"syntax50",50,90,69,138,233.700113681938,5
"syntax50",50,91,94,138,232.030098907004,4
"syntax50",50,92,75,138,237.046001832499,3
"syntax50",50,93,93,138,232.128433081651,4
"syntax50",50,94,101,138,230.076497656237,4
"syntax50",50,95,120,138,231.321429491843,3
"syntax50",50,96,117,138,232.177805798115,3
