"variant","word","reference","cluster"
"no_word_component_columns","whoever_s",2,2
"no_word_component_columns","whosever",2,2
"no_word_component_columns","whosoever",2,2
"no_word_component_columns","whosoever_s",2,2
"no_word_component_columns","you_pron_sing",2,2
"no_word_component_columns","you_pron_plur",2,2
"no_word_component_columns","your_sing",2,2
"no_word_component_columns","yours_sing",2,2
"no_word_component_columns","your_plur",2,2
"no_word_component_columns","yours_plur",2,2
"no_word_component_columns","yourself",2,2
"no_word_component_columns","yourselves",2,2
"no_word_component_columns","today",2,2
"no_word_component_columns","tomorrow",2,2
"no_word_component_columns","tonight",2,2
"no_word_component_columns","yesterday",2,2
"no_word_component_columns","there",2,1
"syntax50","a",1,1
"syntax50","a_certain",1,1
"syntax50","a_few",1,1
"syntax50","a_great_many",1,1
"syntax50","a_little",1,1
"syntax50","all",1,1
"syntax50","another",1,1
"syntax50","any",1,1
"syntax50","anybody",1,1
"syntax50","anyone",1,1
"syntax50","anything",1,1
"syntax50","anywhere",1,1
"syntax50","both",1,1
"syntax50","certain",1,1
"syntax50","each",1,1
"syntax50","either",1,1
"syntax50","enough",1,1
"syntax50","every",1,1
"syntax50","everybody",1,1
"syntax50","everyone",1,1
"syntax50","everything",1,1
"syntax50","everywhere",1,1
"syntax50","few",1,1
"syntax50","fewer",1,1
"syntax50","fewest",1,1
"syntax50","little",1,1
"syntax50","less",1,1
"syntax50","least",1,1
"syntax50","many",1,1
"syntax50","many_a",1,1
"syntax50","more",1,1
"syntax50","most",1,1
"syntax50","much",1,1
"syntax50","neither",1,1
"syntax50","last",1,1
"syntax50","next",1,1
"syntax50","no",1,1
"syntax50","none",1,1
"syntax50","nobody",1,1
"syntax50","no_one",1,1
"syntax50","nothing",1,1
"syntax50","nowhere",1,1
"syntax50","one_det",1,1
"syntax50","two_det",1,1
"syntax50","three_det",1,1
"syntax50","once",1,1
"syntax50","twice",1,1
"syntax50","thrice",1,1
"syntax50","several",1,1
"syntax50","some",1,1
"syntax50","somebody",1,1
"syntax50","someone",1,1
"syntax50","something",1,1
"syntax50","somewhere",1,1
"syntax50","somewhat",1,1
"syntax50","such",1,1
"syntax50","sufficient",1,1
"syntax50","that",1,1
"syntax50","these",1,1
"syntax50","this",1,1
"syntax50","those",1,1
"syntax50","the",1,1
"syntax50","us_det",1,1
"syntax50","we_det",1,1
"syntax50","you_det",1,1
"syntax50","what_det",1,1
"syntax50","whatever_det",1,1
"syntax50","which_rel_det",1,1
"syntax50","which_int_det",1,1
"syntax50","whichever_rel_det",1,1
"syntax50","whichever_int_det",1,1
"syntax50","zero_det",1,1
"syntax50","various_det",1,1
"syntax50","each_other",2,2
"syntax50","one_another",2,2
"syntax50","he",2,2
"syntax50","him",2,2
"syntax50","himself",2,2
"syntax50","his",2,1
"syntax50","she",2,2
"syntax50","her_acc",2,2
"syntax50","her_dep",2,1
"syntax50","hers",2,2
"syntax50","herself",2,2
"syntax50","it_plain",2,2
"syntax50","it_dum",2,2
"syntax50","its",2,1
"syntax50","itself",2,2
"syntax50","I",2,2
"syntax50","me",2,2
"syntax50","mine",2,2
"syntax50","my",2,1
"syntax50","myself",2,2
"syntax50","one_pron",2,2
"syntax50","one_s",2,1
"syntax50","oneself",2,2
"syntax50","their_sing",2,1
"syntax50","theirs_sing",2,2
"syntax50","their_plur",2,1
"syntax50","theirs_plur",2,2
"syntax50","them_sing",2,2
"syntax50","them_plur",2,2
"syntax50","themself",2,2
"syntax50","themselves",2,2
"syntax50","they_sing",2,2
"syntax50","they_plur",2,2
"syntax50","we_pron",2,2
"syntax50","us_pron",2,2
"syntax50","our",2,1
"syntax50","ours",2,2
"syntax50","ourselves",2,2
"syntax50","what_pron",2,2
"syntax50","whatever_pron",2,2
"syntax50","which_rel_pron",2,1
"syntax50","who_int",2,2
"syntax50","who_rel",2,1
"syntax50","whom_int",2,2
"syntax50","whom_rel",2,1
"syntax50","whose_int",2,1
"syntax50","whose_rel",2,1
"syntax50","whoever",2,2
"syntax50","whoever_s",2,1
"syntax50","whosever",2,1
"syntax50","whosoever",2,2
"syntax50","whosoever_s",2,1
"syntax50","you_pron_sing",2,2
"syntax50","you_pron_plur",2,2
"syntax50","your_sing",2,1
"syntax50","yours_sing",2,2
"syntax50","your_plur",2,1
"syntax50","yours_plur",2,2
"syntax50","yourself",2,2
"syntax50","yourselves",2,2
"syntax50","today",2,2
"syntax50","tomorrow",2,2
"syntax50","tonight",2,2
"syntax50","yesterday",2,2
"syntax50","there",2,2
"syntax_without_four_analysis_labels","a",1,1
"syntax_without_four_analysis_labels","a_certain",1,1
"syntax_without_four_analysis_labels","a_few",1,1
"syntax_without_four_analysis_labels","a_great_many",1,1
"syntax_without_four_analysis_labels","a_little",1,1
"syntax_without_four_analysis_labels","all",1,1
"syntax_without_four_analysis_labels","another",1,1
"syntax_without_four_analysis_labels","any",1,1
"syntax_without_four_analysis_labels","anybody",1,2
"syntax_without_four_analysis_labels","anyone",1,2
"syntax_without_four_analysis_labels","anything",1,2
"syntax_without_four_analysis_labels","anywhere",1,2
"syntax_without_four_analysis_labels","both",1,1
"syntax_without_four_analysis_labels","certain",1,1
"syntax_without_four_analysis_labels","each",1,1
"syntax_without_four_analysis_labels","either",1,2
"syntax_without_four_analysis_labels","enough",1,1
"syntax_without_four_analysis_labels","every",1,1
"syntax_without_four_analysis_labels","everybody",1,2
"syntax_without_four_analysis_labels","everyone",1,2
"syntax_without_four_analysis_labels","everything",1,2
"syntax_without_four_analysis_labels","everywhere",1,2
"syntax_without_four_analysis_labels","few",1,1
"syntax_without_four_analysis_labels","fewer",1,1
"syntax_without_four_analysis_labels","fewest",1,1
"syntax_without_four_analysis_labels","little",1,1
"syntax_without_four_analysis_labels","less",1,1
"syntax_without_four_analysis_labels","least",1,1
"syntax_without_four_analysis_labels","many",1,1
