"fit_id","seed","objective","matched","ari","iterations","last_moves","selected"
"full__equal_domains__sqrt_hamming__energy",72,28.5300160747006,104,0.252413533231221,6,0,FALSE
"full__equal_domains__sqrt_hamming__energy",73,28.5223204969112,103,0.237788234678377,4,0,FALSE
"full__equal_domains__sqrt_hamming__energy",74,28.7847483531317,117,0.480274562291262,3,0,FALSE
"full__equal_domains__sqrt_hamming__energy",75,28.7826438721144,116,0.460164608685144,3,0,FALSE
"full__equal_domains__sqrt_hamming__energy",76,28.7847483531318,117,0.480274562291262,2,0,FALSE
"full__equal_domains__sqrt_hamming__energy",77,28.7826438721144,116,0.460164608685144,3,0,FALSE
"full__equal_domains__sqrt_hamming__energy",78,28.7303111482031,112,0.384085714474941,4,0,FALSE
"full__equal_domains__sqrt_hamming__energy",79,28.5223204969112,103,0.237788234678377,5,0,FALSE
"full__equal_domains__sqrt_hamming__energy",80,28.7303111482031,112,0.384085714474941,3,0,FALSE
"full__equal_domains__sqrt_hamming__energy",81,28.5300160747006,104,0.252413533231221,4,0,FALSE
"full__equal_domains__sqrt_hamming__energy",82,28.7847483531318,117,0.480274562291262,4,0,FALSE
"full__equal_domains__sqrt_hamming__energy",83,28.7303111482031,112,0.384085714474941,4,0,FALSE
"full__equal_domains__sqrt_hamming__energy",84,28.7303111482031,112,0.384085714474941,3,0,FALSE
"full__equal_domains__sqrt_hamming__energy",85,28.5223204969112,103,0.237788234678377,4,0,FALSE
"full__equal_domains__sqrt_hamming__energy",86,28.7303111482031,112,0.384085714474941,3,0,FALSE
"full__equal_domains__sqrt_hamming__energy",87,28.5223204969113,103,0.237788234678377,5,0,FALSE
"full__equal_domains__sqrt_hamming__energy",88,28.5223204969112,103,0.237788234678377,5,0,FALSE
"full__equal_domains__sqrt_hamming__energy",89,28.7303111482031,112,0.384085714474941,3,0,FALSE
"full__equal_domains__sqrt_hamming__energy",90,28.7826438721144,116,0.460164608685144,3,0,FALSE
"full__equal_domains__sqrt_hamming__energy",91,28.7334610050982,113,0.402507280234578,3,0,FALSE
"full__equal_domains__sqrt_hamming__energy",92,28.5300160747006,104,0.252413533231221,4,0,FALSE
"full__equal_domains__sqrt_hamming__energy",93,28.5223204969112,103,0.237788234678377,3,0,FALSE
"full__equal_domains__sqrt_hamming__energy",94,28.5300160747005,104,0.252413533231221,4,0,FALSE
"full__equal_domains__sqrt_hamming__energy",95,28.5223204969112,103,0.237788234678377,3,0,FALSE
"full__equal_domains__sqrt_hamming__energy",96,28.7303111482031,112,0.384085714474941,3,0,FALSE
"full__equal_domains__sqrt_hamming__energy",97,28.5223204969113,103,0.237788234678377,5,0,FALSE
"full__equal_domains__sqrt_hamming__energy",98,28.5300160747006,104,0.252413533231221,5,0,FALSE
"full__equal_domains__sqrt_hamming__energy",99,28.730311148203,112,0.384085714474941,3,0,FALSE
"full__equal_domains__sqrt_hamming__energy",100,28.7303111482031,112,0.384085714474941,3,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",1,28.6701497802387,126,0.680101952432046,3,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",2,28.6488058652491,132,0.832434356035834,3,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",3,28.6432971845604,131,0.805989846809123,5,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",4,28.6432971845604,131,0.805989846809123,4,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",5,28.6556797727573,128,0.729182352662061,4,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",6,28.6817338029123,125,0.656186540594849,4,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",7,28.6425128730511,130,0.77996430590564,4,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",8,28.6425128730512,130,0.77996430590564,3,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",9,28.6658724059489,121,0.564825417741791,3,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",10,28.6425128730512,130,0.77996430590564,3,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",11,28.6701497802387,126,0.680101952432046,3,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",12,28.648805865249,132,0.832434356035834,4,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",13,28.6488058652491,132,0.832434356035834,5,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",14,28.6481529856843,126,0.680118905972665,3,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",15,29.8075963920238,90,0.0860873156842851,5,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",16,28.6817338029122,125,0.656186540594849,3,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",17,28.639534665197,125,0.656232090438534,3,0,TRUE
"full__unique_profiles__sqrt_hamming__energy",18,28.6446788713275,128,0.729193117314019,3,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",19,28.6425128730511,130,0.77996430590564,3,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",20,28.673211021438,127,0.704424255453394,3,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",21,28.6488058652492,132,0.832434356035834,5,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",22,28.7991788794168,109,0.331491360187137,4,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",23,28.6488058652492,132,0.832434356035834,5,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",24,28.6445803242254,129,0.754373152541918,4,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",25,28.6432971845604,131,0.805989846809123,4,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",26,28.6608897218159,122,0.58703181511815,4,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",27,28.6817338029121,125,0.656186540594849,3,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",28,28.6701497802387,126,0.680101952432046,3,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",29,28.7991788794169,109,0.331491360187137,4,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",30,28.6732110214379,127,0.704424255453394,3,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",31,28.819556920613,111,0.366049191366264,6,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",32,28.667949212189,128,0.729186838037711,3,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",33,28.6659878359403,124,0.632718165357138,3,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",34,28.6608897218158,122,0.58703181511815,3,0,FALSE
