"spec_id","scope","feature_set","weighting","distance","method","k","max_k_examined","silhouette","ari"
"no_components__equal_features__hamming__pam","core","no_components","equal_features","hamming","pam",4,8,0.174836740625879,0.377413056177947
"no_components__equal_features__hamming__pam","core","no_components","equal_features","hamming","pam",5,8,0.201205642027115,0.323354404527767
"no_components__equal_features__hamming__pam","core","no_components","equal_features","hamming","pam",6,8,0.242175423955304,0.260518492244985
"no_components__equal_features__hamming__pam","core","no_components","equal_features","hamming","pam",7,8,0.251567959381784,0.241148600766096
"no_components__equal_features__hamming__pam","core","no_components","equal_features","hamming","pam",8,8,0.27014841089253,0.220046914042008
"no_components__equal_features__hamming__average","core","no_components","equal_features","hamming","average",2,8,0.252284314368307,0.754356879442656
"no_components__equal_features__hamming__average","core","no_components","equal_features","hamming","average",3,8,0.233129807356587,0.656716725529334
"no_components__equal_features__hamming__average","core","no_components","equal_features","hamming","average",4,8,0.215504427346455,0.681886278425476
"no_components__equal_features__hamming__average","core","no_components","equal_features","hamming","average",5,8,0.245725356055192,0.586849387552212
"no_components__equal_features__hamming__average","core","no_components","equal_features","hamming","average",6,8,0.262619679042656,0.376955525124723
"no_components__equal_features__hamming__average","core","no_components","equal_features","hamming","average",7,8,0.290943968853537,0.305452921500489
"no_components__equal_features__hamming__average","core","no_components","equal_features","hamming","average",8,8,0.295561509126159,0.277158445308406
"no_components__equal_features__jaccard__pam","core","no_components","equal_features","jaccard","pam",2,8,0.171635550400608,0.656186540594849
"no_components__equal_features__jaccard__pam","core","no_components","equal_features","jaccard","pam",3,8,0.144331357240685,0.549977400997044
"no_components__equal_features__jaccard__pam","core","no_components","equal_features","jaccard","pam",4,8,0.140863613175583,0.412488806360005
"no_components__equal_features__jaccard__pam","core","no_components","equal_features","jaccard","pam",5,8,0.158592636017297,0.32743076756817
"no_components__equal_features__jaccard__pam","core","no_components","equal_features","jaccard","pam",6,8,0.15451000396433,0.295473769270231
"no_components__equal_features__jaccard__pam","core","no_components","equal_features","jaccard","pam",7,8,0.179737274361687,0.292138047691491
"no_components__equal_features__jaccard__pam","core","no_components","equal_features","jaccard","pam",8,8,0.195927344669434,0.292948977475267
"no_components__equal_features__jaccard__average","core","no_components","equal_features","jaccard","average",2,8,0.17182237539191,0.00399148870714579
"no_components__equal_features__jaccard__average","core","no_components","equal_features","jaccard","average",3,8,0.170889772864213,0.611928596553299
"no_components__equal_features__jaccard__average","core","no_components","equal_features","jaccard","average",4,8,0.171601286682136,0.465945531003518
"no_components__equal_features__jaccard__average","core","no_components","equal_features","jaccard","average",5,8,0.158236118112782,0.465733329865628
"no_components__equal_features__jaccard__average","core","no_components","equal_features","jaccard","average",6,8,0.157016244581658,0.452363948986591
"no_components__equal_features__jaccard__average","core","no_components","equal_features","jaccard","average",7,8,0.169846818171628,0.348226260986654
"no_components__equal_features__jaccard__average","core","no_components","equal_features","jaccard","average",8,8,0.195761373155135,0.268914465088464
"no_components__equal_domains__sqrt_hamming__pam","core","no_components","equal_domains","sqrt_hamming","pam",2,8,0.21041350437573,0.402507280234578
"no_components__equal_domains__sqrt_hamming__pam","core","no_components","equal_domains","sqrt_hamming","pam",3,8,0.122597343782451,0.333714708944877
"no_components__equal_domains__sqrt_hamming__pam","core","no_components","equal_domains","sqrt_hamming","pam",4,8,0.10235276045398,0.276797290230617
"no_components__equal_domains__sqrt_hamming__pam","core","no_components","equal_domains","sqrt_hamming","pam",5,8,0.115287660182864,0.286727501391222
"no_components__equal_domains__sqrt_hamming__pam","core","no_components","equal_domains","sqrt_hamming","pam",6,8,0.140321269347242,0.269658339408646
"no_components__equal_domains__sqrt_hamming__pam","core","no_components","equal_domains","sqrt_hamming","pam",7,8,0.166045517203573,0.243375625484561
"no_components__equal_domains__sqrt_hamming__pam","core","no_components","equal_domains","sqrt_hamming","pam",8,8,0.167168548439817,0.255418742426282
"no_components__equal_domains__sqrt_hamming__average","core","no_components","equal_domains","sqrt_hamming","average",2,8,0.203975477280516,0.331544480220811
"no_components__equal_domains__sqrt_hamming__average","core","no_components","equal_domains","sqrt_hamming","average",3,8,0.20460841340538,0.288463606468022
"no_components__equal_domains__sqrt_hamming__average","core","no_components","equal_domains","sqrt_hamming","average",4,8,0.183777716512822,0.261979848675313
"no_components__equal_domains__sqrt_hamming__average","core","no_components","equal_domains","sqrt_hamming","average",5,8,0.203425822436018,0.47015838557598
"no_components__equal_domains__sqrt_hamming__average","core","no_components","equal_domains","sqrt_hamming","average",6,8,0.216739028070339,0.458597169837987
"no_components__equal_domains__sqrt_hamming__average","core","no_components","equal_domains","sqrt_hamming","average",7,8,0.221190494122772,0.444581409301274
"no_components__equal_domains__sqrt_hamming__average","core","no_components","equal_domains","sqrt_hamming","average",8,8,0.224209982280293,0.449656316554852
"no_components__equal_domains__hamming__pam","core","no_components","equal_domains","hamming","pam",2,8,0.359949970229896,0.480274562291262
"no_components__equal_domains__hamming__pam","core","no_components","equal_domains","hamming","pam",3,8,0.204266577604592,0.333714708944877
"no_components__equal_domains__hamming__pam","core","no_components","equal_domains","hamming","pam",4,8,0.162984535023139,0.276797290230617
"no_components__equal_domains__hamming__pam","core","no_components","equal_domains","hamming","pam",5,8,0.177293662668865,0.286727501391222
"no_components__equal_domains__hamming__pam","core","no_components","equal_domains","hamming","pam",6,8,0.223674297160826,0.260453119212581
"no_components__equal_domains__hamming__pam","core","no_components","equal_domains","hamming","pam",7,8,0.264962164669963,0.243375625484561
"no_components__equal_domains__hamming__pam","core","no_components","equal_domains","hamming","pam",8,8,0.284981476743814,0.240125091066555
"no_components__equal_domains__hamming__average","core","no_components","equal_domains","hamming","average",2,8,0.351214456115539,0.440540561404208
"no_components__equal_domains__hamming__average","core","no_components","equal_domains","hamming","average",3,8,0.329750375938388,0.360544441531483
"no_components__equal_domains__hamming__average","core","no_components","equal_domains","hamming","average",4,8,0.307278192653544,0.330314468772675
"no_components__equal_domains__hamming__average","core","no_components","equal_domains","hamming","average",5,8,0.32769248538574,0.465063294061249
"no_components__equal_domains__hamming__average","core","no_components","equal_domains","hamming","average",6,8,0.346150252894808,0.453500707185835
